Отметка времени,Где Вы проживаете?,Есть ли у Вас доход кроме мер поддержки от университета?,Какой объём денежных средств приносит Вам подработка? (при наличии),Как Вы распоряжаетесь денежными средствами с подработки?,"По Вашему мнению, сколько Вы бы могли реально откладывать в месяц, учитывая все источники дохода?","Если у Вас есть, или была бы подработка, но она была нерегулярной - какой способ откладывания денег для вас был бы более удобным?"
26.09.2026 18:12:36,С родителями,"Нет, но хотел(а) бы",Не подрабатываю,Смешиваю с основным бюджетом (не делю деньги на разные категории),Не имею возможности откладывать,"Не думал(а) об этом, не заинтересован(а)"
26.09.2026 18:12:52,В общежитии,"Нет, но хотел(а) бы",Не подрабатываю,"Закрываю текущие обязательные расходы (жильё, кредитные обязательства и пр.)","1 000,00 - 3 000,00₽","Фиксированный процент от каждого поступления, внезависимости от его размера"
26.09.2026 18:12:56,В общежитии,"Нет, но хотел(а) бы",Не подрабатываю,Смешиваю с основным бюджетом (не делю деньги на разные категории),"1 000,00 - 3 000,00₽","Фиксированный процент от каждого поступления, внезависимости от его размера"
26.09.2026 18:13:57,В общежитии,"Нет, и не планирую",Не подрабатываю,"Закрываю текущие обязательные расходы (жильё, кредитные обязательства и пр.)","1 000,00 - 3 000,00₽","Фиксированный процент от каждого поступления, внезависимости от его размера"
26.09.2026 18:16:04,В общежитии,"Нет, но хотел(а) бы",Не подрабатываю,Смешиваю с основным бюджетом (не делю деньги на разные категории),"1 000,00 - 3 000,00₽","Откладывал(а) бы только «лишнее», при закрытии всех расходов"
26.09.2026 18:17:43,В общежитии,"Нет, но хотел(а) бы",Не подрабатываю,Смешиваю с основным бюджетом (не делю деньги на разные категории),"3 000,00 - 7 000,00₽","Фиксированная сумма, при прохождении определенного порога (заработаю 5 000,00₽ - отложу 1 000,00₽)"
26.09.2026 18:19:37,В общежитии,"Нет, но хотел(а) бы",Не подрабатываю,Откладываю всё или большую часть,"Более 7 000,00₽","Фиксированный процент от каждого поступления, внезависимости от его размера"
26.09.2026 18:22:08,В общежитии,"Нет, и не планирую",Не подрабатываю,Смешиваю с основным бюджетом (не делю деньги на разные категории),"3 000,00 - 7 000,00₽","Откладывал(а) бы только «лишнее», при закрытии всех расходов"
26.09.2026 18:27:55,В общежитии,"Нет, но хотел(а) бы",Не подрабатываю,Смешиваю с основным бюджетом (не делю деньги на разные категории),"1 000,00 - 3 000,00₽","Фиксированная сумма, при прохождении определенного порога (заработаю 5 000,00₽ - отложу 1 000,00₽)"
26.09.2026 18:29:12,Другое,Регулярный (постоянное трудоустройство),"3 000,00 - 7 000,00₽",Смешиваю с основным бюджетом (не делю деньги на разные категории),"1 000,00 - 3 000,00₽","Фиксированная сумма, при прохождении определенного порога (заработаю 5 000,00₽ - отложу 1 000,00₽)"
26.09.2026 18:32:22,С родителями,"Нет, но хотел(а) бы",Не подрабатываю,"Сразу трачу на предметы роскоши (тусовки, хотелки)",Не имею возможности откладывать,"Не думал(а) об этом, не заинтересован(а)"
26.09.2026 18:43:41,Другое,"Нет, и не планирую","Более 15 000,00₽","Сразу трачу на предметы роскоши (тусовки, хотелки)","Более 7 000,00₽","Не думал(а) об этом, не заинтересован(а)"
26.09.2026 18:46:08,С родителями,"Нет, но хотел(а) бы","7 000,00 - 15 000,00₽",Откладываю всё или большую часть,"Более 7 000,00₽","Фиксированный процент от каждого поступления, внезависимости от его размера"
26.09.2026 18:53:00,Съёмное жильё,"Нет, но хотел(а) бы",Не подрабатываю,"Закрываю текущие обязательные расходы (жильё, кредитные обязательства и пр.)","Более 7 000,00₽","Откладывал(а) бы только «лишнее», при закрытии всех расходов"
26.09.2026 19:42:16,В общежитии,"Нет, но хотел(а) бы",Не подрабатываю,Смешиваю с основным бюджетом (не делю деньги на разные категории),"1 000,00 - 3 000,00₽","Фиксированный процент от каждого поступления, внезависимости от его размера"
26.09.2026 19:56:36,В общежитии,"Нет, но хотел(а) бы",Не подрабатываю,Смешиваю с основным бюджетом (не делю деньги на разные категории),"1 000,00 - 3 000,00₽","Фиксированный процент от каждого поступления, внезависимости от его размера"
26.09.2026 20:43:21,В общежитии,"Нет, но хотел(а) бы",Не подрабатываю,Смешиваю с основным бюджетом (не делю деньги на разные категории),"1 000,00 - 3 000,00₽","Фиксированная сумма, при прохождении определенного порога (заработаю 5 000,00₽ - отложу 1 000,00₽)"
26.09.2026 21:06:34,С родителями,"Нет, но хотел(а) бы",Не подрабатываю,"Закрываю текущие обязательные расходы (жильё, кредитные обязательства и пр.)","До 1 000,00₽","Откладывал(а) бы только «лишнее», при закрытии всех расходов"
